"project","constructive","under_constructive","work_group","block","floor","level","min_base_plan_start_date","max_base_plan_finish_date","contractors"
"Проект - 12","Благоустройство (верт.планировка, покрытие, озеленение, МАФы)",NULL,"Благоустройство",NULL,NULL,4,"2024-07-30","2024-09-08","[{""contractor"" : null, ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 12","10 этаж",1,"2024-03-30","2024-03-30","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 12","11 этаж",1,"2024-03-27","2024-03-27","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 12","12 этаж",1,"2024-04-05","2024-04-05","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 12","1 этаж",1,"2024-03-30","2024-04-12","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 12","2 этаж",1,"2024-03-11","2024-03-11","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 12","3 этаж",1,"2024-03-17","2024-03-17","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 12","4 этаж",1,"2024-03-12","2024-03-20","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 12","5 этаж",1,"2024-03-22","2024-03-22","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 12","6 этаж",1,"2024-03-20","2024-03-20","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 12","7 этаж",1,"2024-03-20","2024-03-20","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 12","8 этаж",1,"2024-03-28","2024-03-28","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 12","9 этаж",1,"2024-03-22","2024-04-07","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 12","Минус первый этаж",1,"2024-04-16","2024-04-16","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 13","10 этаж",1,"2024-03-28","2024-03-28","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 13","11 этаж",1,"2024-04-08","2024-04-08","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 13","12 этаж",1,"2024-03-30","2024-04-01","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 13","1 этаж",1,"2024-03-30","2024-04-04","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 13","2 этаж",1,"2024-03-07","2024-03-18","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 13","3 этаж",1,"2024-03-19","2024-03-20","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 13","4 этаж",1,"2024-03-18","2024-03-18","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 13","5 этаж",1,"2024-03-14","2024-03-15","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 13","6 этаж",1,"2024-03-24","2024-03-24","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
"Проект - 12","Внутренние сети отопления, вентиляции и кондиционирования","Отопление","Отопление","Блок 13","7 этаж",1,"2024-03-20","2024-03-20","[{""contractor"" : ""Подрядчик - 193"", ""plan_value"" : 0}]"
